Voltage,Current_Sim,Current_Theory
0,0.08,0
0.05,0.048,0.2
0.1,0.0288,0.4
0.15,0.01728,0.6
0.2,0.010368,0.8
0.25,0.0062208,1
0.3,0.00373248,1.2
0.35,-0.0777605,1.4
0.4,-0.0466563,1.6
0.45,-0.0279938,1.8
0.5,-0.0167963,2
0.55,0.0699222,2.2
0.6,-0.118047,2.4
0.65,-0.070828,2.6
0.7,0.0375032,2.8
0.75,0.0225019,3
0.8,0.0135012,3.2
0.85,0.00810069,3.4
0.9,0.00486042,3.6
0.95,0.00291625,3.8
1,0.0817498,4
1.05,0.0490499,4.2
1.1,0.0294299,4.4
1.15,0.0176579,4.6
1.2,0.0905948,4.8
1.25,0.134357,5
1.3,0.160614,5.2
1.35,0.0163685,5.4
1.4,0.00982109,5.6
1.45,0.00589265,5.8
1.5,0.00353559,6
1.55,0.00212136,6.2
1.6,0.0812728,6.4
1.65,0.0487637,6.6
1.7,0.0292582,6.8
1.75,0.0975549,7
1.8,0.298533,7.2
1.85,0.17912,7.4
1.9,0.187472,7.6
1.95,0.112483,7.8
2,0.0674899,8
2.05,0.0404939,8.2
