Voltage,Sim_Current,Theory_Current
0,-0.1,0
0.05,-0.025,0.125
0.1,0.0275,0.25
0.15,0.06425,0.375
0.2,0.164975,0.5
0.25,0.265483,0.625
0.3,0.290838,0.75
0.35,0.293586,0.875
0.4,0.49051,1
0.45,0.598357,1.125
0.5,0.62885,1.25
0.55,0.635195,1.375
0.6,0.759637,1.5
0.65,0.786746,1.625
0.7,0.955722,1.75
0.75,0.984005,1.875
0.8,1.2738,2
0.85,1.43166,2.125
0.9,1.57216,2.25
0.95,1.53551,2.375
1,1.59986,2.5
1.05,1.7799,2.625
1.1,1.83093,2.75
1.15,1.89665,2.875
1.2,2.01766,3
1.25,1.87736,3.125
1.3,2.03415,3.25
1.35,2.06891,3.375
1.4,2.21323,3.5
1.45,2.49426,3.625
1.5,2.48098,3.75
1.55,2.63669,3.875
1.6,2.82068,4
1.65,2.79948,4.125
1.7,2.81463,4.25
1.75,2.88524,4.375
1.8,2.82967,4.5
1.85,3.01577,4.625
1.9,3.28104,4.75
1.95,3.33173,4.875
2,3.48721,5
2.05,3.47605,5.125
