Voltage,Current_Sim
0,-2
0.05,6
0.1,2
0.15,12
0.2,8
0.25,10
0.3,13
0.35,22
0.4,14
0.45,24
0.5,11
0.55,34
0.6,27
0.65,27
0.7,28
0.75,34
0.8,43
0.85,35
0.9,39
0.95,42
1,47
1.05,41
1.1,53
1.15,54
1.2,54
1.25,56
1.3,58
1.35,66
1.4,57
1.45,66
1.5,63
1.55,75
1.6,71
1.65,70
1.7,85
1.75,72
1.8,77
1.85,93
1.9,81
1.95,84
2,105
0,0
0.05,1
0.1,2
0.15,4
0.2,7
0.25,15
0.3,7
0.35,17
0.4,18
0.45,22
0.5,22
0.55,27
0.6,20
0.65,40
0.7,35
0.75,24
0.8,36
0.85,41
0.9,41
0.95,32
1,54
1.05,47
1.1,47
1.15,49
1.2,56
1.25,60
1.3,51
1.35,63
1.4,66
1.45,65
1.5,64
1.55,73
1.6,74
1.65,80
1.7,61
1.75,87
1.8,77
1.85,87
1.9,85
1.95,90
2,83
0,5
0.05,2
0.1,5
0.15,5
0.2,7
0.25,13
0.3,16
0.35,18
0.4,13
0.45,21
0.5,20
0.55,27
0.6,27
0.65,26
0.7,33
0.75,33
0.8,34
0.85,40
0.9,41
0.95,48
1,47
1.05,38
1.1,53
1.15,50
1.2,59
1.25,46
1.3,65
1.35,60
1.4,62
1.45,64
1.5,71
1.55,67
1.6,77
1.65,61
1.7,80
1.75,86
1.8,74
1.85,90
1.9,85
1.95,81
2,97
